"word1","word2","freq"
"national","championship",6
"national","park",6
"need","help",6
"need","know",6
"need","talk",6
"never","get",6
"never","got",6
"new","brunswick",6
"new","england",6
"new","followers",6
"new","life",6
"new","music",6
"new","things",6
"new","world",6
"north","america",6
"northeast","ohio",6
"nothing","can",6
"now","can",6
"now","ive",6
"now","need",6
"nuclear","power",6
"one","actually",6
"one","else",6
"one","last",6
"one","man",6
"one","person",6
"one","top",6
"one","week",6
"open","space",6
"pass","along",6
"people","don’t",6
"people","dont",6
"people","love",6
"phone","call",6
"play","game",6
"point","guard",6
"police","spokesman",6
"pretty","well",6
"probably","one",6
"public","library",6
"question","“",6
"question","whether",6
"ready","get",6
"real","time",6
"really","bad",6
"really","know",6
"really","nice",6
"really","wanted",6
"really","well",6
"rock","n",6
"said","even",6
"said","felt",6
"said","never",6
"said","new",6
"said","tuesday",6
"say","“",6
"say","something",6
"says","“",6
"see","one",6
"seemed","like",6
"seven","years",6
"small","businesses",6
"sound","like",6
"south","america",6
"southern","california",6
"spokesman","said",6
"state","department",6
"state","law",6
"state","police",6
"still","working",6
"take","long",6
"tax","breaks",6
"tens","thousands",6
"thats","good",6
"thats","just",6
"theres","nothing",6
"think","may",6
"think","people",6
"think","really",6
"thought","’d",6
"three","weeks",6
"time","around",6
"time","just",6
"time","now",6
"time","people",6
"time","two",6
"told","police",6
"took","place",6
"training","camp",6
"two","games",6
"two","three",6
"unemployment","rate",6
"us","government",6
"use","one",6
"wanted","see",6
"way","back",6
"way","home",6
"well","done",6
"well","said",6
"went","home",6
"weve","got",6
"will","change",6
"will","definitely",6
"will","keep",6
"will","now",6
"will","one",6
"will","play",6
"will","reach",6
"will","spend",6
"winners","will",6
"work","just",6
"world","series",6
"year","two",6
"yes","im",6
"young","woman",6
"-","jbuescher",5
"-year","old",5
"–","don’t",5
"–","one",5
"—","one",5
"—","will",5
"’ll","get",5
"’re","just",5
"’s","’s",5
"’s","another",5
"’s","kind",5
"’s","one",5
"’s","way",5
"’ve","ever",5
"’ve","seen",5
"“","really",5
"“","will",5
"able","find",5
"able","go",5
"almost","certainly",5
"also","available",5
"also","going",5
"also","included",5
"also","includes",5
"also","one",5
"also","use",5
"among","many",5
"another","chance",5
"another","way",5
"anyone","can",5
"anything","else",5
"anything","like",5
"atlantic","city",5
"back","school",5
"back","time",5
"baking","soda",5
"baltimore","county",5
"bank","account",5
"became","clear",5
"believe","will",5
"best","buy",5
"best","part",5
"big","enough",5
"big","fan",5
"blown","away",5
"can","anyone",5
"can","ask",5
"can","best",5
"can","buy",5
"can","continue",5
"can","even",5
"can","feel",5
"can","live",5
"can","put",5
"can","understand",5
"can","used",5
"cant","afford",5
"cant","stand",5
"cell","phone",5
"chamber","commerce",5
"christmas","eve",5
"civil","rights",5
"coach","john",5
"coffee","shop",5
"come","get",5
"come","home",5
"comes","time",5
"completely","different",5
"create","jobs",5
"day","last",5
"day","now",5
"day","right",5
"day","school",5
"day","today",5
"day","year",5
"dear","friend",5
"decided","take",5
"department","said",5
"despite","fact",5
"didnt","like",5
"different","ways",5
"doesn’t","matter",5
"doesnt","know",5
"doesnt","matter",5
"dont","care",5
"dont","eat",5
"dont","see",5
"dont","tell",5
"economic","recovery",5
"eight","years",5
"enough","get",5
"enough","time",5
"especially","since",5
"euro","zone",5
"even","get",5
"even","worse",5
"every","morning",5
"feel","better",5
"feel","special",5
"feels","good",5
"film","festival",5
"final","four",5
"final","two",5
"final","year",5
"first","couple",5
"first","three",5
"fitzgerald","said",5
"florida","state",5
"follow","back",5
"following","us",5
"former","president",5
"four","months",5
"free","agent",5
"free","speech",5
"free","time",5
"friends","people",5
"general","fund",5
"get","job",5
"get","little",5
"get","sense",5
"get","started",5
"get","work",5
"give","away",5
"give","us",5
"go","around",5
"go","away",5
"go","now",5
"go","one",5
"go","well",5
"going","can",5
"going","go",5
"going","happen",5
"got","one",5
"got","really",5
"got","see",5
"grape","leaves",5
"great","lakes",5
"great","night",5
"great","show",5
"hall","fame",5
"happy","friday",5
"happy","see",5
"havent","seen",5
"head","coach",5
"help","us",5
"hes","also",5
"higher","education",5
"hitchcock","said",5
"hold","onto",5
"hope","well",5
"hope","youre",5
"hot","dogs",5
"hot","water",5
"howard","county",5
"huge","fan",5
"hundreds","thousands",5
"id","say",5
"ill","try",5
"im","glad",5
"im","hoping",5
"im","like",5
"im","thinking",5
"im","tired",5
"im","writing",5
"income","tax",5
"interesting","see",5
"ive","decided",5
"jbuescher","-",5
"just","around",5
"just","came",5
"just","cant",5
"just","case",5
"just","don’t",5
"just","fine",5
"just","four",5
"just","gave",5
"just","getting",5
"just","give",5
"just","going",5
"just","looking",5
"just","might",5
"just","need",5
"just","perfect",5
"just","said",5
"just","saying",5
"just","starting",5
"just","stay",5
"just","woke",5
"keep","mind",5
"kind","words",5
"know","’re",5
"know","’s",5
"know","know",5
"know","much",5
"know","need",5
"know","people",5
"know","youre",5
"lake","erie",5
"last","five",5
"last","friday",5
"last","six",5
"last","summer",5
"last","three",5
"last","week’s",5
"last","weeks",5
"like","“",5
"like","always",5
"like","can",5
"like","first",5
"like","going",5
"like","many",5
"little","girl",5
"little","one",5
"little","things",5
"living","room",5
"looking","good",5
"love","see",5
"made","way",5
"major","league",5
"make","us",5
"makes","happy",5
"makes","us",5
"march","madness",5
"march","th",5
"may","-",5
"may","just",5
"may","know",5
"may","one",5
"maybe","just",5
"mexico","city",5
"might","able",5
"months","old",5
"much","easier",5
"much","going",5
"much","higher",5
"must","pay",5
"napa","valley",5
"nearly","years",5
"need","one",5
"never","ever",5
"never","forget",5
"never","made",5
"never","say",5
"never","went",5
"new","ideas",5
